dropped privs to tcpdump
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
12:44:24.739154 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.739156 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.739156 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.739157 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.739336 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 113
12:44:24.739338 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.739361 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.740289 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.740290 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740290 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 113
12:44:24.740291 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.740291 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.740292 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.740292 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740292 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740376 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740384 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 113
12:44:24.740385 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.740386 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.740689 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 129
12:44:24.740690 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740809 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740809 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740810 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 97
12:44:24.740811 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740984 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
12:44:24.740985 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 113
12:44:24.741419 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 97
12:44:24.741420 IP 46.31.27.36.19162 > 216.219.95.164.47291: UDP, length 81
