dropped privs to tcpdump
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
17:14:27.944838 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 97
17:14:27.945935 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.945967 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946190 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946210 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.946217 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 113
17:14:27.946229 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946243 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946464 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946663 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.946676 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 113
17:14:27.946713 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946735 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946756 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946856 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.946876 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.946911 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 113
17:14:27.946919 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946927 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946941 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 129
17:14:27.946977 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.946978 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.946993 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 97
17:14:27.947016 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.947030 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 97
17:14:27.947200 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 113
17:14:27.947217 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 97
17:14:27.947241 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.947256 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 97
17:14:27.947273 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:27.947289 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 97
17:14:27.973429 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 113
17:14:28.036573 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 305
17:14:28.057204 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 97
17:14:28.061863 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 209
17:14:28.066416 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 97
17:14:28.068994 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 209
17:14:28.072475 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 129
17:14:28.076184 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 97
17:14:28.078530 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 209
17:14:28.082568 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 129
17:14:28.084994 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 129
17:14:28.087688 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 305
17:14:28.090232 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 97
17:14:28.093025 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 161
17:14:28.095975 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 209
17:14:28.097545 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 161
17:14:28.100094 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 129
17:14:28.102406 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 161
17:14:28.104216 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 97
17:14:28.107224 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 161
17:14:28.109587 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 209
17:14:28.219225 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 97
17:14:28.223173 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 241
17:14:28.233002 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:28.244880 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:28.265039 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
17:14:28.270719 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 81
17:14:28.280969 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 81
17:14:28.290048 IP 216.219.95.164.47291 > 46.31.27.36.22772: UDP, length 81
17:14:28.395739 IP 46.31.27.36.22772 > 216.219.95.164.47291: UDP, length 81
