dropped privs to tcpdump
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
14:21:02.380158 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.380160 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380370 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380371 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380372 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 113
14:21:02.380445 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380446 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380872 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380873 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:02.380874 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.380969 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 113
14:21:02.380970 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380970 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380971 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.380972 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.380972 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.381068 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.381095 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.381178 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 129
14:21:02.381179 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 113
14:21:02.381216 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:02.381217 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.381218 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:02.381219 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.381903 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.381904 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 113
14:21:02.381905 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:02.382021 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:02.382022 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.382210 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:02.382211 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.382315 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 113
14:21:02.477234 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 97
14:21:02.490635 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 209
14:21:02.498850 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 305
14:21:02.506201 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 97
14:21:02.513409 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 209
14:21:02.524228 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 129
14:21:02.530203 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 97
14:21:02.548616 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 209
14:21:02.554728 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 161
14:21:02.560837 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 129
14:21:02.567273 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 161
14:21:02.573265 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 129
14:21:02.579572 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 97
14:21:02.586908 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 209
14:21:02.593105 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 305
14:21:02.599420 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 161
14:21:02.604586 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 129
14:21:02.609362 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 161
14:21:02.615532 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 97
14:21:02.621611 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 209
14:21:02.644618 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:02.649837 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 241
14:21:02.664185 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.695793 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.700735 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:02.711433 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:02.726664 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.727230 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.739527 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:02.740902 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:02.822412 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:02.826613 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:02.872309 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:02.872817 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 289
14:21:02.882848 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:02.883141 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 1329
14:21:02.883143 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 513
14:21:02.883808 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:02.887680 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:02.898722 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:02.902967 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:02.905758 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:02.910359 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:02.911279 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:02.911907 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:02.912219 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:02.934634 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 193
14:21:02.998081 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:02.998663 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 225
14:21:03.001846 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:03.006425 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:03.070572 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:03.081201 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:03.252180 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:03.252550 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 1329
14:21:03.252685 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 545
14:21:03.286586 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:03.287920 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:03.288027 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:03.393404 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:03.404523 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:03.996234 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:04.027842 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:05.105976 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:05.151914 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:05.948562 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 193
14:21:06.066746 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:06.073092 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:06.245320 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:06.246233 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 289
14:21:06.254852 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:06.261178 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:07.314499 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:07.347757 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:07.355916 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 193
14:21:07.377618 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:07.528133 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:07.537779 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:07.709617 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:07.711391 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 161
14:21:07.718938 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:07.719024 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:08.961110 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 193
14:21:09.448813 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:09.459980 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:09.532405 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:09.611442 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
14:21:09.630785 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:09.631500 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 289
14:21:09.639426 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:09.641738 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:09.660780 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 113
14:21:09.660882 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:09.660883 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 113
14:21:09.668721 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 385
14:21:09.672371 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 401
14:21:09.740208 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:09.911253 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:09.911476 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 289
14:21:09.985319 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:09.991250 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:10.704713 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:10.705418 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:10.705584 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 97
14:21:10.718103 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 273
14:21:10.718175 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 225
14:21:10.869268 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 81
14:21:11.039662 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 65
14:21:11.040158 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 289
14:21:11.209641 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 65
14:21:11.573826 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 81
14:21:11.577702 IP 216.219.95.164.47291 > 46.31.27.36.63782: UDP, length 97
14:21:11.739858 IP 46.31.27.36.63782 > 216.219.95.164.47291: UDP, length 241
