dropped privs to tcpdump
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
17:57:00.010202 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.010204 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.010377 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010378 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010379 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010379 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.010774 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.010775 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010775 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010776 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010776 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.010777 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.010777 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010778 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010842 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010842 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.010849 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.010849 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.010850 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.010851 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.010851 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.010851 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.010915 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010916 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010916 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 129
17:57:00.010917 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.010917 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.010917 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.010918 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.010918 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.010987 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.010987 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.010988 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.011171 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.011172 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.011173 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011392 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011393 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.011394 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.011395 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.011497 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011498 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.011498 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011499 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011499 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.011606 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011607 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011864 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011865 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.011865 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.011870 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.011870 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.011871 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.012009 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.012010 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.012011 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.012087 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.012088 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.012207 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.012208 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.012209 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.012361 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.012361 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.012362 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.012363 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 113
17:57:00.066502 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 305
17:57:00.078749 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 97
17:57:00.085821 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 209
17:57:00.090469 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 177
17:57:00.098425 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 97
17:57:00.101881 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 209
17:57:00.109969 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 177
17:57:00.113536 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 129
17:57:00.117162 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 129
17:57:00.121806 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 385
17:57:00.125391 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 401
17:57:00.129002 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 97
17:57:00.133707 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 209
17:57:00.140733 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 177
17:57:00.146225 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 129
17:57:00.151010 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 129
17:57:00.185462 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 385
17:57:00.189098 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 401
17:57:00.194853 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 161
17:57:00.199613 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 305
17:57:00.218002 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.235353 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 417
17:57:00.240134 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 129
17:57:00.243292 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 129
17:57:00.248099 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 273
17:57:00.251714 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 225
17:57:00.284177 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 97
17:57:00.285551 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 401
17:57:00.288762 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.289469 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.289470 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.289606 IP 46.31.27.36.58950 > 216.219.95.164.47291: UDP, length 81
17:57:00.318624 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 385
17:57:00.321436 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 97
17:57:00.324942 IP 216.219.95.164.47291 > 46.31.27.36.58950: UDP, length 161
