dropped privs to tcpdump
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:02:49.542129 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 401
20:02:49.545726 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 385
20:02:49.548098 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 209
20:02:49.549174 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:49.549738 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:49.551971 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 273
20:02:49.560244 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 97
20:02:49.562781 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.563123 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.602747 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.607126 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:49.621998 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.169417 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 225
20:02:50.169672 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 129
20:02:50.169852 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 161
20:02:50.170008 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 225
20:02:50.170090 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 257
20:02:50.170170 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 385
20:02:50.170225 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 401
20:02:50.170296 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 97
20:02:50.170349 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 97
20:02:50.170414 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 161
20:02:50.170498 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 97
20:02:50.170561 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 225
20:02:50.170611 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 257
20:02:50.170682 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 241
20:02:50.248288 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
20:02:50.254799 IP 216.219.95.164.47291 > 46.31.27.36.4933: UDP, length 97
20:02:50.360688 IP 46.31.27.36.4933 > 216.219.95.164.47291: UDP, length 81
